ID,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
5XEO7wnzRT06M9R58ByLYP,0.974,0.306,186559,0.118,0.972,9,0.0873,-22.565,0,0.0452,123.354,4,0.0369
5dFZW6bwvbFYDHXSTQRSgC,0.994,0,110000,0.00654,0.971,8,0.116,-30.664,1,0,0,0,0
4WmB04GBqS4xPMYN9dHgBw,0.927,0.311,199423,0.0173,0.964,9,0.0727,-27.788,0,0.0348,95.985,3,0.0658
1BncfTJAWxrsxyT9culBrj,0.934,0.447,315427,0.449,0.961,2,0.0697,-10.634,1,0.0376,92.468,4,0.036
1mnHdt7Bb2UoVyNBfzJo5q,0.967,0.273,302133,0.0841,0.959,7,0.149,-26.331,0,0.0427,71.57,4,0.135
7cmpWAZsamIlIiyU1aMGZD,0.0105,0.627,178594,0.902,0.952,6,0.0997,-5.149,0,0.0384,128.021,4,0.135
5Q7xgSQqyhwrC2fJAXLeWE,0.917,0.467,79107,0.0262,0.95,7,0.132,-14.617,1,0.0406,130.253,4,0.218
52CUgWpodkazmNm0lZRikD,0.968,0.575,208467,0.243,0.95,5,0.0833,-22.838,0,0.0658,73.998,4,0.239
5qdIBhkfw2l3jTVdE9FYlL,0.98,0.438,193547,0.13,0.949,1,0.103,-21.682,0,0.0712,207.885,4,0.178
5qdIBhkfw2l3jTVdE9FYlL,0.98,0.438,193547,0.13,0.949,1,0.103,-21.682,0,0.0712,207.885,4,0.178
1FCsK0oKWCtDOYRPYSrYgO,0.986,0.328,152000,0.0704,0.946,0,0.108,-20.147,0,0.0319,51.696,4,0.15
6oCI2tE0YBbKHvN3uoO9oX,0.99,0.182,300931,0.0307,0.945,1,0.0919,-30.235,0,0.0465,172.625,3,0.0855
3zBEHYVp4InYeAFboRkkOg,0.0798,0.123,281112,0.534,0.942,7,0.0892,-7.031,1,0.0332,82.026,3,0.0355
1nsSTfcy0hjSf5TQ7m5kD4,0.977,0.657,192078,0.209,0.938,7,0.0984,-12.067,1,0.0971,220.039,4,0.511
5yTP9ZWBnwCVQi8TTb9WEl,0.945,0.3,172598,0.281,0.938,1,0.154,-18.971,0,0.0322,140.101,3,0.413
6tP5WBwARsuOTjCR5PMuRN,0.993,0.725,246616,0.309,0.929,9,0.115,-15.371,0,0.0506,107.134,4,0.0742
0nFiXjQUmqZJnskf6nKi70,0.941,0.366,263583,0.349,0.927,8,0.145,-16.638,0,0.0561,91.813,4,0.0784
4LR9Tossdkh6OPPV6hZd5g,0.992,0.622,310918,0.11,0.927,4,0.108,-20.465,1,0.0524,140.642,4,0.166
13JQqTuJHqviMAgbvQswzU,0.989,0.371,215396,0.00956,0.926,0,0.1,-26.17,1,0.0383,63.962,4,0.135
1OG3z7d1wLlcKNHwc6WyWv,0.279,0.36,301775,0.351,0.925,2,0.307,-12.689,0,0.0271,80.692,4,0.182
0KezpTnG9Lz58ATU2Dq99l,0.942,0.427,185613,0.274,0.924,5,0.458,-14.478,0,0.0366,119.733,4,0.154
4BhKHp46Y2aNCHWCt39uqB,0.328,0.535,159118,0.232,0.919,4,0.112,-15.119,0,0.0687,131.886,4,0.116
0HZoJBTp5jDR4jEEv55Rhz,0.99,0.258,249500,0.0162,0.918,1,0.0862,-28.396,0,0.0394,53.421,3,0.211
3oqDlE8as0M15ghJkYzlm8,0.974,0.206,211760,0.0968,0.916,2,0.101,-17.542,0,0.0324,75.91,4,0.0388
1TPPIP658A07SYIo9JTAv7,0.0188,0.805,164181,0.476,0.915,7,0.118,-22.392,1,0.0499,124.016,4,0.0732
7Ac7iWJMcTrCpW21U99cxP,0.000222,0.776,291265,0.871,0.909,0,0.0888,-14.177,1,0.052,140.018,4,0.963
4Nvk27cN49D4UGBien57lw,0.992,0.378,126933,0.111,0.906,4,0.126,-20.528,0,0.0373,94.572,3,0.0663
3nemKOMcxKox07zY2TbH2o,0.354,0.787,210545,0.367,0.905,5,0.1,-12.35,0,0.0733,110.01,4,0.592
4HN6Kcrpc0oD4bkccVHkKC,0.979,0.28,178823,0.0448,0.905,9,0.115,-22.712,0,0.0368,114.894,4,0.0964
0CRv7Lz9pXqMhpvU4KUJGx,0.188,0.848,146348,0.309,0.901,5,0.11,-17.172,0,0.0752,114.99,4,0.51
0GQIQ9SrDcRV7Uhv5dLb09,0.672,0.657,72973,0.342,0.896,9,0.0917,-15.671,0,0.107,113.197,4,0.166
3shFZ2oQT3s8DWpItiurXO,0.453,0.429,205296,0.277,0.888,5,0.123,-15.073,0,0.0355,130.032,4,0.273
4kXfayi9uLdzioQJih9aN9,0.00116,0.545,228000,0.859,0.887,5,0.115,-4.283,1,0.0466,125.003,4,0.172
0FBD5enUqCLG8Dmv2HopVW,0.993,0.455,117151,0.0278,0.886,5,0.0846,-23.881,1,0.073,61.395,3,0.132
3pHhfLHl6k344qjzTygb7l,0.376,0.7,229399,0.227,0.885,8,0.0987,-14.148,1,0.0629,178.998,3,0.381
7qH9Z4dJEN0l9bidizW7fq,0.805,0.457,257533,0.407,0.884,9,0.126,-11.475,1,0.0308,117.053,4,0.126
6TWcSqCntZhH5vyc35kkob,0.351,0.453,258484,0.465,0.883,3,0.0985,-8.392,1,0.0287,123.84,4,0.178
6wUS6fFYO3VwJsbUn7zWEW,0.816,0.315,160920,0.451,0.882,7,0.0976,-12.333,0,0.0345,165.07,3,0.672
2MSgFefjK0T7Iwjvr3OKqV,0.992,0.225,259493,0.0047,0.881,1,0.0722,-30.928,0,0.0509,163.665,4,0.186
7BRD7x5pt8Lqa1eGYC4dzj,0.144,0.7,303440,0.425,0.879,7,0.083,-12.531,1,0.0529,110.015,4,0.521
5pSxOv6lbvdz2fddSUPdSA,0.897,0.226,214787,0.303,0.878,0,0.162,-10.866,0,0.0374,66.727,4,0.094
